Fold 3
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.0104
Epoch 1, EMA ACC: 0.4005, Time: 110.59s
New best EMA model saved with val acc: 0.4005
Epoch 2, EMA ACC: 0.8449, Time: 110.29s
New best EMA model saved with val acc: 0.8449
Epoch 3, EMA ACC: 0.8918, Time: 110.34s
New best EMA model saved with val acc: 0.8918
Epoch 4, EMA ACC: 0.8773, Time: 110.31s
Epoch 5, EMA ACC: 0.8785, Time: 110.38s
Epoch 6, EMA ACC: 0.8819, Time: 110.40s
Epoch 7, EMA ACC: 0.8681, Time: 110.53s
Epoch 8, EMA ACC: 0.8559, Time: 110.37s
Epoch 9, EMA ACC: 0.8385, Time: 110.39s
Epoch 10, EMA ACC: 0.8628, Time: 110.51s
Epoch 11, EMA ACC: 0.8461, Time: 110.51s
Epoch 12, EMA ACC: 0.8466, Time: 110.42s
Epoch 13, EMA ACC: 0.8490, Time: 110.51s
Epoch 14, EMA ACC: 0.8536, Time: 110.47s
Epoch 15, EMA ACC: 0.8576, Time: 110.40s
Epoch 16, EMA ACC: 0.8576, Time: 110.35s
Epoch 17, EMA ACC: 0.8623, Time: 110.39s
Epoch 18, EMA ACC: 0.8455, Time: 110.44s
Epoch 19, EMA ACC: 0.8519, Time: 110.35s
Epoch 20, EMA ACC: 0.8484, Time: 110.41s
Epoch 21, EMA ACC: 0.8385, Time: 110.41s
Epoch 22, EMA ACC: 0.8397, Time: 110.52s
Epoch 23, EMA ACC: 0.8594, Time: 110.37s
Epoch 24, EMA ACC: 0.8519, Time: 110.33s
Epoch 25, EMA ACC: 0.8559, Time: 110.46s
Epoch 26, EMA ACC: 0.8472, Time: 110.29s
Epoch 27, EMA ACC: 0.8640, Time: 110.44s
Epoch 28, EMA ACC: 0.8600, Time: 110.54s
Epoch 29, EMA ACC: 0.8559, Time: 110.37s
Epoch 30, EMA ACC: 0.8646, Time: 110.40s
Epoch 31, EMA ACC: 0.8530, Time: 110.27s
Epoch 32, EMA ACC: 0.8646, Time: 110.30s
Epoch 33, EMA ACC: 0.8605, Time: 110.47s
Epoch 34, EMA ACC: 0.8756, Time: 110.31s
Epoch 35, EMA ACC: 0.8681, Time: 110.36s
Epoch 36, EMA ACC: 0.8628, Time: 110.56s
Epoch 37, EMA ACC: 0.8594, Time: 110.28s
Epoch 38, EMA ACC: 0.8756, Time: 110.19s
Epoch 39, EMA ACC: 0.8634, Time: 110.27s
Epoch 40, EMA ACC: 0.8611, Time: 110.21s
Epoch 41, EMA ACC: 0.8709, Time: 110.25s
Epoch 42, EMA ACC: 0.8663, Time: 110.22s
Epoch 43, EMA ACC: 0.8623, Time: 110.26s
Epoch 44, EMA ACC: 0.8582, Time: 110.38s
Epoch 45, EMA ACC: 0.8634, Time: 110.21s
Epoch 46, EMA ACC: 0.8588, Time: 110.27s
Epoch 47, EMA ACC: 0.8605, Time: 110.30s
Epoch 48, EMA ACC: 0.8600, Time: 110.21s
Epoch 49, EMA ACC: 0.8657, Time: 110.26s
Epoch 50, EMA ACC: 0.8883, Time: 110.22s
Epoch 51, EMA ACC: 0.8773, Time: 110.20s
Epoch 52, EMA ACC: 0.8721, Time: 110.30s
Epoch 53, EMA ACC: 0.8756, Time: 110.20s
Epoch 54, EMA ACC: 0.8802, Time: 110.19s
Epoch 55, EMA ACC: 0.8628, Time: 110.29s
Epoch 56, EMA ACC: 0.8733, Time: 110.17s
Epoch 57, EMA ACC: 0.8791, Time: 110.30s
Epoch 58, EMA ACC: 0.8715, Time: 110.38s
Epoch 59, EMA ACC: 0.8791, Time: 110.18s
Epoch 60, EMA ACC: 0.8628, Time: 110.21s
Epoch 61, EMA ACC: 0.8698, Time: 110.36s
Epoch 62, EMA ACC: 0.8762, Time: 110.35s
Epoch 63, EMA ACC: 0.8652, Time: 110.22s
Epoch 64, EMA ACC: 0.8750, Time: 110.16s
Epoch 65, EMA ACC: 0.8767, Time: 110.23s
Epoch 66, EMA ACC: 0.8692, Time: 110.24s
Epoch 67, EMA ACC: 0.8802, Time: 110.29s
Epoch 68, EMA ACC: 0.8837, Time: 110.24s
Epoch 69, EMA ACC: 0.8900, Time: 110.18s
Epoch 70, EMA ACC: 0.8762, Time: 110.31s
Epoch 71, EMA ACC: 0.8762, Time: 110.23s
Epoch 72, EMA ACC: 0.8785, Time: 110.21s
Epoch 73, EMA ACC: 0.8831, Time: 110.23s
Epoch 74, EMA ACC: 0.8814, Time: 110.31s
Epoch 75, EMA ACC: 0.8872, Time: 110.33s
Epoch 76, EMA ACC: 0.8692, Time: 110.30s
Epoch 77, EMA ACC: 0.8738, Time: 110.24s
Epoch 78, EMA ACC: 0.8733, Time: 110.44s
Epoch 79, EMA ACC: 0.8756, Time: 110.52s
Epoch 80, EMA ACC: 0.8906, Time: 110.23s
Epoch 81, EMA ACC: 0.8750, Time: 110.38s
Epoch 82, EMA ACC: 0.8877, Time: 110.30s
Epoch 83, EMA ACC: 0.8715, Time: 110.45s
Epoch 84, EMA ACC: 0.8756, Time: 110.35s
Epoch 85, EMA ACC: 0.8773, Time: 110.35s
Epoch 86, EMA ACC: 0.8895, Time: 110.35s
Epoch 87, EMA ACC: 0.8727, Time: 110.31s
Epoch 88, EMA ACC: 0.8860, Time: 110.47s
Epoch 89, EMA ACC: 0.8918, Time: 110.23s
Epoch 90, EMA ACC: 0.8796, Time: 110.26s
Epoch 91, EMA ACC: 0.8895, Time: 110.50s
Epoch 92, EMA ACC: 0.8895, Time: 110.20s
Epoch 93, EMA ACC: 0.8715, Time: 110.52s
Epoch 94, EMA ACC: 0.8866, Time: 110.30s
Epoch 95, EMA ACC: 0.8808, Time: 110.34s
Epoch 96, EMA ACC: 0.8767, Time: 110.32s
Epoch 97, EMA ACC: 0.8773, Time: 110.24s
Epoch 98, EMA ACC: 0.8767, Time: 110.31s
Epoch 99, EMA ACC: 0.8814, Time: 110.22s
Epoch 100, EMA ACC: 0.8779, Time: 110.33s
