Fold 4
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.0145
Epoch 1, EMA ACC: 0.4358, Time: 110.40s
New best EMA model saved with val acc: 0.4358
Epoch 2, EMA ACC: 0.8652, Time: 110.29s
New best EMA model saved with val acc: 0.8652
Epoch 3, EMA ACC: 0.8964, Time: 110.19s
New best EMA model saved with val acc: 0.8964
Epoch 4, EMA ACC: 0.8895, Time: 110.31s
Epoch 5, EMA ACC: 0.8767, Time: 110.25s
Epoch 6, EMA ACC: 0.8872, Time: 110.38s
Epoch 7, EMA ACC: 0.8808, Time: 110.32s
Epoch 8, EMA ACC: 0.8756, Time: 110.33s
Epoch 9, EMA ACC: 0.8767, Time: 110.42s
Epoch 10, EMA ACC: 0.8466, Time: 110.31s
Epoch 11, EMA ACC: 0.8594, Time: 110.39s
Epoch 12, EMA ACC: 0.8455, Time: 110.41s
Epoch 13, EMA ACC: 0.8634, Time: 110.35s
Epoch 14, EMA ACC: 0.8536, Time: 110.35s
Epoch 15, EMA ACC: 0.8640, Time: 110.39s
Epoch 16, EMA ACC: 0.8628, Time: 110.42s
Epoch 17, EMA ACC: 0.8669, Time: 110.30s
Epoch 18, EMA ACC: 0.8692, Time: 110.32s
Epoch 19, EMA ACC: 0.8634, Time: 110.43s
Epoch 20, EMA ACC: 0.8681, Time: 110.30s
Epoch 21, EMA ACC: 0.8634, Time: 110.42s
Epoch 22, EMA ACC: 0.8623, Time: 110.33s
Epoch 23, EMA ACC: 0.8773, Time: 110.28s
Epoch 24, EMA ACC: 0.8709, Time: 110.47s
Epoch 25, EMA ACC: 0.8727, Time: 110.42s
Epoch 26, EMA ACC: 0.8715, Time: 110.35s
Epoch 27, EMA ACC: 0.8767, Time: 110.29s
Epoch 28, EMA ACC: 0.8692, Time: 110.32s
Epoch 29, EMA ACC: 0.8889, Time: 110.28s
Epoch 30, EMA ACC: 0.8709, Time: 110.39s
Epoch 31, EMA ACC: 0.8779, Time: 110.34s
Epoch 32, EMA ACC: 0.8738, Time: 110.38s
Epoch 33, EMA ACC: 0.8681, Time: 110.48s
Epoch 34, EMA ACC: 0.8738, Time: 110.41s
Epoch 35, EMA ACC: 0.8773, Time: 110.36s
Epoch 36, EMA ACC: 0.8669, Time: 110.40s
Epoch 37, EMA ACC: 0.8762, Time: 110.40s
Epoch 38, EMA ACC: 0.8652, Time: 110.47s
Epoch 39, EMA ACC: 0.8652, Time: 110.32s
Epoch 40, EMA ACC: 0.8709, Time: 110.33s
Epoch 41, EMA ACC: 0.8802, Time: 110.32s
Epoch 42, EMA ACC: 0.8681, Time: 110.28s
Epoch 43, EMA ACC: 0.8773, Time: 110.35s
Epoch 44, EMA ACC: 0.8802, Time: 110.26s
Epoch 45, EMA ACC: 0.8883, Time: 110.32s
Epoch 46, EMA ACC: 0.8796, Time: 110.28s
Epoch 47, EMA ACC: 0.8819, Time: 110.36s
Epoch 48, EMA ACC: 0.8785, Time: 110.52s
Epoch 49, EMA ACC: 0.8756, Time: 110.44s
Epoch 50, EMA ACC: 0.8785, Time: 110.34s
Epoch 51, EMA ACC: 0.8924, Time: 110.24s
Epoch 52, EMA ACC: 0.8808, Time: 110.31s
Epoch 53, EMA ACC: 0.8762, Time: 110.43s
Epoch 54, EMA ACC: 0.8825, Time: 110.26s
Epoch 55, EMA ACC: 0.8727, Time: 110.32s
Epoch 56, EMA ACC: 0.8767, Time: 110.26s
Epoch 57, EMA ACC: 0.8900, Time: 110.34s
Epoch 58, EMA ACC: 0.8860, Time: 110.29s
Epoch 59, EMA ACC: 0.8808, Time: 110.43s
Epoch 60, EMA ACC: 0.8877, Time: 110.33s
Epoch 61, EMA ACC: 0.8860, Time: 110.28s
Epoch 62, EMA ACC: 0.8906, Time: 110.39s
Epoch 63, EMA ACC: 0.8767, Time: 110.28s
Epoch 64, EMA ACC: 0.8889, Time: 110.42s
Epoch 65, EMA ACC: 0.8756, Time: 110.38s
Epoch 66, EMA ACC: 0.8889, Time: 110.32s
Epoch 67, EMA ACC: 0.8877, Time: 110.52s
Epoch 68, EMA ACC: 0.8825, Time: 110.27s
Epoch 69, EMA ACC: 0.8866, Time: 110.44s
Epoch 70, EMA ACC: 0.8912, Time: 110.36s
Epoch 71, EMA ACC: 0.8953, Time: 110.50s
Epoch 72, EMA ACC: 0.8935, Time: 110.31s
Epoch 73, EMA ACC: 0.8877, Time: 110.32s
Epoch 74, EMA ACC: 0.8831, Time: 110.22s
Epoch 75, EMA ACC: 0.8848, Time: 110.38s
Epoch 76, EMA ACC: 0.8802, Time: 110.20s
Epoch 77, EMA ACC: 0.8860, Time: 110.33s
Epoch 78, EMA ACC: 0.8756, Time: 110.28s
Epoch 79, EMA ACC: 0.8733, Time: 110.26s
Epoch 80, EMA ACC: 0.8860, Time: 110.26s
Epoch 81, EMA ACC: 0.8843, Time: 110.30s
Epoch 82, EMA ACC: 0.8791, Time: 110.26s
Epoch 83, EMA ACC: 0.8762, Time: 110.24s
Epoch 84, EMA ACC: 0.8762, Time: 110.22s
Epoch 85, EMA ACC: 0.8762, Time: 110.21s
Epoch 86, EMA ACC: 0.8895, Time: 110.30s
Epoch 87, EMA ACC: 0.8843, Time: 110.29s
Epoch 88, EMA ACC: 0.8802, Time: 110.30s
Epoch 89, EMA ACC: 0.8686, Time: 110.22s
Epoch 90, EMA ACC: 0.8744, Time: 110.30s
Epoch 91, EMA ACC: 0.8791, Time: 110.18s
Epoch 92, EMA ACC: 0.8808, Time: 110.19s
Epoch 93, EMA ACC: 0.8872, Time: 110.26s
Epoch 94, EMA ACC: 0.8756, Time: 110.19s
Epoch 95, EMA ACC: 0.8854, Time: 110.31s
Epoch 96, EMA ACC: 0.8877, Time: 110.23s
Epoch 97, EMA ACC: 0.8958, Time: 110.22s
Epoch 98, EMA ACC: 0.8872, Time: 110.24s
Epoch 99, EMA ACC: 0.8808, Time: 110.23s
Epoch 100, EMA ACC: 0.8906, Time: 110.28s
