Fold 2
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.0214
Epoch 1, EMA ACC: 0.4184, Time: 110.60s
New best EMA model saved with val acc: 0.4184
Epoch 2, EMA ACC: 0.8507, Time: 110.43s
New best EMA model saved with val acc: 0.8507
Epoch 3, EMA ACC: 0.8843, Time: 110.25s
New best EMA model saved with val acc: 0.8843
Epoch 4, EMA ACC: 0.8854, Time: 110.37s
New best EMA model saved with val acc: 0.8854
Epoch 5, EMA ACC: 0.8877, Time: 110.35s
New best EMA model saved with val acc: 0.8877
Epoch 6, EMA ACC: 0.8779, Time: 110.58s
Epoch 7, EMA ACC: 0.8628, Time: 110.54s
Epoch 8, EMA ACC: 0.8704, Time: 110.45s
Epoch 9, EMA ACC: 0.8542, Time: 110.62s
Epoch 10, EMA ACC: 0.8351, Time: 110.56s
Epoch 11, EMA ACC: 0.8501, Time: 110.44s
Epoch 12, EMA ACC: 0.8449, Time: 110.46s
Epoch 13, EMA ACC: 0.8588, Time: 110.48s
Epoch 14, EMA ACC: 0.8559, Time: 110.42s
Epoch 15, EMA ACC: 0.8652, Time: 110.39s
Epoch 16, EMA ACC: 0.8709, Time: 110.46s
Epoch 17, EMA ACC: 0.8669, Time: 110.46s
Epoch 18, EMA ACC: 0.8571, Time: 110.57s
Epoch 19, EMA ACC: 0.8663, Time: 110.58s
Epoch 20, EMA ACC: 0.8565, Time: 110.49s
Epoch 21, EMA ACC: 0.8617, Time: 110.54s
Epoch 22, EMA ACC: 0.8762, Time: 110.45s
Epoch 23, EMA ACC: 0.8663, Time: 110.47s
Epoch 24, EMA ACC: 0.8756, Time: 110.62s
Epoch 25, EMA ACC: 0.8727, Time: 110.40s
Epoch 26, EMA ACC: 0.8762, Time: 110.39s
Epoch 27, EMA ACC: 0.8831, Time: 110.41s
Epoch 28, EMA ACC: 0.8727, Time: 110.48s
Epoch 29, EMA ACC: 0.8762, Time: 110.47s
Epoch 30, EMA ACC: 0.8721, Time: 110.41s
Epoch 31, EMA ACC: 0.8860, Time: 110.44s
Epoch 32, EMA ACC: 0.8791, Time: 110.38s
Epoch 33, EMA ACC: 0.8814, Time: 110.44s
Epoch 34, EMA ACC: 0.8796, Time: 110.47s
Epoch 35, EMA ACC: 0.8779, Time: 110.58s
Epoch 36, EMA ACC: 0.8721, Time: 110.48s
Epoch 37, EMA ACC: 0.8802, Time: 110.38s
Epoch 38, EMA ACC: 0.8831, Time: 110.36s
Epoch 39, EMA ACC: 0.8721, Time: 110.35s
Epoch 40, EMA ACC: 0.8709, Time: 110.31s
Epoch 41, EMA ACC: 0.8900, Time: 110.32s
