Fold 0
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.0150
Epoch 1, EMA ACC: 0.4167, Time: 109.77s
New best EMA model saved with val acc: 0.4167
Epoch 2, EMA ACC: 0.8385, Time: 110.69s
New best EMA model saved with val acc: 0.8385
Epoch 3, EMA ACC: 0.8744, Time: 110.32s
New best EMA model saved with val acc: 0.8744
Epoch 4, EMA ACC: 0.8698, Time: 110.52s
Epoch 5, EMA ACC: 0.8767, Time: 110.37s
New best EMA model saved with val acc: 0.8767
Epoch 6, EMA ACC: 0.8605, Time: 110.55s
Epoch 7, EMA ACC: 0.8698, Time: 110.62s
Epoch 8, EMA ACC: 0.8547, Time: 110.49s
Epoch 9, EMA ACC: 0.8536, Time: 110.60s
Epoch 10, EMA ACC: 0.8461, Time: 110.58s
Epoch 11, EMA ACC: 0.8432, Time: 110.40s
Epoch 12, EMA ACC: 0.8426, Time: 110.42s
Epoch 13, EMA ACC: 0.8466, Time: 110.58s
Epoch 14, EMA ACC: 0.8611, Time: 110.52s
Epoch 15, EMA ACC: 0.8524, Time: 110.44s
Epoch 16, EMA ACC: 0.8530, Time: 110.66s
Epoch 17, EMA ACC: 0.8391, Time: 110.50s
Epoch 18, EMA ACC: 0.8617, Time: 110.49s
Epoch 19, EMA ACC: 0.8466, Time: 110.68s
Epoch 20, EMA ACC: 0.8414, Time: 110.56s
Epoch 21, EMA ACC: 0.8559, Time: 110.49s
Epoch 22, EMA ACC: 0.8576, Time: 110.50s
Epoch 23, EMA ACC: 0.8530, Time: 110.49s
Epoch 24, EMA ACC: 0.8565, Time: 110.52s
Epoch 25, EMA ACC: 0.8605, Time: 110.66s
Epoch 26, EMA ACC: 0.8547, Time: 110.52s
Epoch 27, EMA ACC: 0.8657, Time: 110.54s
Epoch 28, EMA ACC: 0.8559, Time: 110.54s
Epoch 29, EMA ACC: 0.8669, Time: 110.62s
Epoch 30, EMA ACC: 0.8519, Time: 110.61s
Epoch 31, EMA ACC: 0.8547, Time: 110.79s
Epoch 32, EMA ACC: 0.8669, Time: 110.62s
Epoch 33, EMA ACC: 0.8738, Time: 110.49s
Epoch 34, EMA ACC: 0.8704, Time: 110.50s
Epoch 35, EMA ACC: 0.8628, Time: 110.50s
Epoch 36, EMA ACC: 0.8663, Time: 110.81s
Epoch 37, EMA ACC: 0.8738, Time: 110.53s
Epoch 38, EMA ACC: 0.8571, Time: 110.63s
Epoch 39, EMA ACC: 0.8663, Time: 110.54s
Epoch 40, EMA ACC: 0.8686, Time: 110.49s
Epoch 41, EMA ACC: 0.8744, Time: 110.77s
Epoch 42, EMA ACC: 0.8617, Time: 110.56s
Epoch 43, EMA ACC: 0.8634, Time: 110.60s
Epoch 44, EMA ACC: 0.8628, Time: 110.66s
Epoch 45, EMA ACC: 0.8663, Time: 110.51s
Epoch 46, EMA ACC: 0.8704, Time: 110.49s
Epoch 47, EMA ACC: 0.8484, Time: 110.45s
Epoch 48, EMA ACC: 0.8704, Time: 110.40s
Epoch 49, EMA ACC: 0.8686, Time: 110.44s
Epoch 50, EMA ACC: 0.8623, Time: 110.37s
Epoch 51, EMA ACC: 0.8600, Time: 110.45s
Epoch 52, EMA ACC: 0.8652, Time: 110.66s
Epoch 53, EMA ACC: 0.8466, Time: 110.60s
Epoch 54, EMA ACC: 0.8652, Time: 110.42s
Epoch 55, EMA ACC: 0.8640, Time: 110.38s
Epoch 56, EMA ACC: 0.8582, Time: 110.72s
Epoch 57, EMA ACC: 0.8663, Time: 110.42s
Epoch 58, EMA ACC: 0.8582, Time: 110.40s
Epoch 59, EMA ACC: 0.8547, Time: 110.61s
Epoch 60, EMA ACC: 0.8530, Time: 110.43s
Epoch 61, EMA ACC: 0.8681, Time: 110.33s
Epoch 62, EMA ACC: 0.8594, Time: 110.33s
Epoch 63, EMA ACC: 0.8611, Time: 110.37s
Epoch 64, EMA ACC: 0.8640, Time: 110.33s
Epoch 65, EMA ACC: 0.8576, Time: 110.32s
Epoch 66, EMA ACC: 0.8727, Time: 110.50s
Epoch 67, EMA ACC: 0.8704, Time: 110.72s
Epoch 68, EMA ACC: 0.8628, Time: 110.37s
Epoch 69, EMA ACC: 0.8698, Time: 110.36s
Epoch 70, EMA ACC: 0.8652, Time: 110.37s
Epoch 71, EMA ACC: 0.8675, Time: 110.33s
Epoch 72, EMA ACC: 0.8565, Time: 110.42s
Epoch 73, EMA ACC: 0.8617, Time: 110.38s
Epoch 74, EMA ACC: 0.8617, Time: 110.40s
Epoch 75, EMA ACC: 0.8675, Time: 110.35s
Epoch 76, EMA ACC: 0.8663, Time: 110.46s
Epoch 77, EMA ACC: 0.8675, Time: 110.43s
Epoch 78, EMA ACC: 0.8762, Time: 110.65s
Epoch 79, EMA ACC: 0.8791, Time: 110.36s
New best EMA model saved with val acc: 0.8791
Epoch 80, EMA ACC: 0.8715, Time: 110.55s
Epoch 81, EMA ACC: 0.8796, Time: 110.54s
New best EMA model saved with val acc: 0.8796
Epoch 82, EMA ACC: 0.8721, Time: 110.37s
Epoch 83, EMA ACC: 0.8756, Time: 110.68s
Epoch 84, EMA ACC: 0.8773, Time: 110.41s
Epoch 85, EMA ACC: 0.8715, Time: 110.39s
Epoch 86, EMA ACC: 0.8733, Time: 110.47s
Epoch 87, EMA ACC: 0.8721, Time: 110.42s
Epoch 88, EMA ACC: 0.8854, Time: 110.43s
New best EMA model saved with val acc: 0.8854
Epoch 89, EMA ACC: 0.8628, Time: 110.22s
Epoch 90, EMA ACC: 0.8733, Time: 110.39s
Epoch 91, EMA ACC: 0.8681, Time: 110.63s
Epoch 92, EMA ACC: 0.8733, Time: 110.47s
Epoch 93, EMA ACC: 0.8744, Time: 110.42s
Epoch 94, EMA ACC: 0.8623, Time: 110.36s
Epoch 95, EMA ACC: 0.8611, Time: 110.39s
Epoch 96, EMA ACC: 0.8646, Time: 110.40s
Epoch 97, EMA ACC: 0.8640, Time: 110.50s
Epoch 98, EMA ACC: 0.8704, Time: 110.76s
Epoch 99, EMA ACC: 0.8669, Time: 110.44s
Epoch 100, EMA ACC: 0.8709, Time: 110.57s
